RAVN,27.85499954,27.16500092,23.52203369,26.68000031,27.85499954,100400,31/08/2011
RAVN,15.23999977,15.52000046,12.49505615,15.21500015,15.56000042,40400,20/04/2010
APO,23.69000053,23.5,21.37859917,23.37999916,23.77000046,1830600,23/03/2017
CLWT,6.050000191,5.775000095,5.775000095,5.610000134,6.050000191,1700,29/10/2008
FLWS,7.690000057,7.46999979,7.46999979,7.46999979,7.840000153,246700,10/03/2008
CCNE,18.79199982,18.81999969,10.23389912,18.70400047,18.99600029,7000,23/09/2003
GHDX,26.23999977,25.71999931,25.71999931,24.80999947,26.23999977,111900,08/04/2009
AAPL,2.332857132,2.352142811,1.580638528,2.293571472,2.402142763,441931000,15/07/2004
MHD,16.51000023,16.53000069,13.28348446,16.51000023,16.54000092,18600,18/11/2014
AAPL,2.142857075,2.125,0.474176198,2.107142925,2.151785612,52038000,04/02/1993
CAAS,5.050000191,5.269999981,5.164247513,5.019999981,5.28000021,91900,12/05/2008
PEZ,39.81999969,39.63999939,38.72341537,39.47999954,39.81999969,900,23/09/2013
MHD,16.04000092,15.93000031,6.640152931,15.90999985,16.07999992,41500,15/03/2005
AMSWA,6.900000095,7.010000229,3.70395565,6.800000191,7.050000191,126200,19/01/2006
AMSWA,6.53000021,6.269999981,4.028521538,6.269999981,6.550000191,39200,04/11/2009
VIAV,9.596132278,9.493742943,9.493742943,9.414107323,9.69852066,8353800,27/04/2007
BRFS,9.520000458,9.567500114,8.364474297,9.449999809,9.637499809,246400,11/07/2007
VIAV,3.390216112,3.373151302,3.373151302,3.350398064,3.44141078,2272500,10/08/2009
VIAV,5.19055748,5.261661053,5.261661053,5.155005455,5.261661053,40700,08/12/1995
RRC,40.11000061,40.18999863,38.84912491,39.95999908,40.79999924,1207500,03/12/2007
RRC,27.45000076,27.25,26.20409584,27.11000061,27.54000092,1012900,09/05/2006
CLWT,19.25,18.86499977,18.86499977,18.75499916,19.41500092,18500,22/03/2006
RAVN,0.743055582,0.736111104,0.006621787,0.736111104,0.743055582,29600,31/05/1990
MHF,9,9.125,2.174230576,9,9.125,8200,20/07/1994
MHD,14.35000038,14.21000004,4.647351742,14.19999981,14.35000038,28100,16/11/2001
MHD,16.32999992,16.47999954,13.24330902,16.32999992,16.47999954,15600,02/12/2014
PEY,17.18000031,17.27000046,16.8722744,17.11000061,17.29999924,163700,13/02/2018
APO,28.39999962,29.44000053,21.27229691,28.31999969,29.45999908,1214200,21/04/2014
AMSWA,6.25,6.5,3.303215981,6.25,6.519999981,95600,31/03/2005
AFSI,6.814049721,6.925619602,4.557350636,6.628098965,7.016529083,757600,04/09/2007
FLWS,10.88000011,10.80000019,10.80000019,10.44999981,10.88000011,234900,06/11/2003
RRC,43.29000092,44.13000107,42.65766907,43.00999832,44.41999817,1288800,05/10/2007
AAPL,102.2900009,100.9599991,94.07817078,100.5,102.3499985,70902400,19/09/2014
VIAV,12.1046648,11.83162689,11.83162689,11.55858898,12.28668976,8322000,22/06/2006
CAAS,10.14000034,10.11999989,9.916922569,9.920000076,10.25,148300,22/02/2007
RAVN,1.6875,1.6875,0.040918425,1.583333373,1.6875,29600,26/05/1994
MHD,15.9375,15.9375,4.103667736,15.875,15.9375,12700,28/09/1998
MHD,14.51000023,14.68999958,11.02162075,14.48999977,14.69999981,134700,10/12/2013
RAVN,7.542500019,7.679999828,4.687410355,7.542500019,7.75,177200,03/03/2004
RRC,37.45000076,36.97000122,35.70996475,36.33000183,37.84000015,1585900,02/08/2007
GTT,13,14.11999989,14.11999989,12.97000027,14.73999977,838800,20/02/2015
RAVN,0.357638896,0.357638896,4.25E-05,0.357638896,0.357638896,72800,05/07/1984
RAVN,11.53499985,11.55000019,7.704099178,11.10499954,11.61499977,311000,20/05/2005
GTN,9.779999733,9.720000267,9.720000267,9.680000305,9.869999886,341200,13/11/2014
GTN,17.56999969,17.76000023,17.76000023,17.39999962,17.92000008,683000,22/07/2015
